part,k,beta_theta,n,c_D_true,c_M_true,ratio_M_true,ratio_D_naive,ratio_est,ratio_std,bias_pct,neff_backward
convergence,16,0.0890,100,0.32691,0.35600,0.89832,0.91248,0.90015,0.01403,0.203,88.5
convergence,16,0.0890,400,0.32691,0.35600,0.89832,0.91248,0.89889,0.00725,0.063,352.5
convergence,16,0.0890,2000,0.32691,0.35600,0.89832,0.91248,0.89845,0.00323,0.014,1761.0
convergence,16,0.0890,10000,0.32691,0.35600,0.89832,0.91248,0.89834,0.00152,0.002,8806.2
convergence,16,0.0890,50000,0.32691,0.35600,0.89832,0.91248,0.89838,0.00066,0.007,44031.6
breakdown,16,0.0300,400,0.11650,0.12000,0.98651,0.98726,0.98659,0.00098,0.008,394.3
breakdown,16,0.0890,400,0.32691,0.35600,0.89832,0.91248,0.89910,0.00745,0.086,352.6
breakdown,16,0.2000,400,0.66667,0.80000,0.63716,0.71899,0.63909,0.02336,0.302,215.5
breakdown,16,0.3500,400,1.03704,1.40000,0.32847,0.50008,0.33576,0.03457,2.218,94.5
breakdown,16,0.5000,400,1.33333,2.00000,0.15190,0.35607,0.15941,0.03142,4.945,42.7
breakdown,16,0.8000,400,1.77778,3.20000,0.02957,0.20365,0.04123,0.01625,39.428,19.4
