k,c_med,c_lo,c_hi,g1_med,g1_lo,g1_hi,g2_med,g2_lo,g2_hi
15,0.3178,0.2129,0.4385,0.3179,-0.4338,1.1590,-0.7790,-1.4834,1.1423
20,0.3197,0.2302,0.4280,0.3122,-0.3975,1.1785,-0.6387,-1.3251,1.3970
25,0.3181,0.2407,0.4062,0.3677,-0.3579,1.0861,-0.4968,-1.2290,1.4241
30,0.3212,0.2519,0.4007,0.3501,-0.2616,1.1281,-0.4053,-1.1154,1.7102
35,0.3193,0.2587,0.3977,0.3885,-0.1812,1.0877,-0.3106,-1.0719,1.4928
40,0.3176,0.2563,0.3871,0.3821,-0.1698,1.0252,-0.2745,-1.0534,1.5502
45,0.3225,0.2654,0.3892,0.3897,-0.1537,1.0350,-0.1975,-0.9513,1.6262
50,0.3257,0.2650,0.3843,0.4315,-0.1055,1.0249,-0.1245,-0.8883,1.7428
55,0.3236,0.2726,0.3812,0.4314,-0.0652,1.0221,-0.0953,-0.8807,1.6748
60,0.3207,0.2641,0.3773,0.4221,-0.0617,1.0030,-0.0832,-0.8218,1.7427
65,0.3244,0.2748,0.3770,0.4320,-0.0490,1.0175,-0.0870,-0.8063,1.7801
70,0.3281,0.2815,0.3796,0.4370,-0.0341,1.0215,-0.0130,-0.7762,1.8342
75,0.3239,0.2778,0.3768,0.4514,-0.0048,0.9938,-0.0317,-0.7146,1.8329
80,0.3248,0.2820,0.3728,0.4402,-0.0123,0.9888,-0.0093,-0.7150,1.6152
85,0.3229,0.2801,0.3712,0.4616,0.0062,0.9312,0.0554,-0.6896,1.6368
90,0.3259,0.2804,0.3706,0.4609,0.0155,0.9472,0.0341,-0.6426,1.5535
95,0.3263,0.2841,0.3708,0.4663,0.0580,0.9222,0.0434,-0.5990,1.5322
100,0.3230,0.2843,0.3645,0.4200,0.0320,0.8994,0.0594,-0.6382,1.3926
125,0.3267,0.2921,0.3634,0.4687,0.1040,0.8546,0.1066,-0.5662,1.2712
150,0.3267,0.2921,0.3586,0.4645,0.1306,0.8389,0.1750,-0.4595,1.3283
175,0.3251,0.2951,0.3586,0.4755,0.1621,0.8059,0.2320,-0.3911,1.2598
200,0.3258,0.2979,0.3588,0.4886,0.1751,0.7870,0.2460,-0.3650,1.1793
225,0.3259,0.2998,0.3514,0.4789,0.2173,0.7680,0.2557,-0.3032,1.1321
250,0.3265,0.2991,0.3539,0.4892,0.2162,0.7628,0.3218,-0.3132,1.1631
275,0.3244,0.3015,0.3523,0.4820,0.2173,0.7720,0.2389,-0.2864,1.1281
300,0.3260,0.3017,0.3514,0.4810,0.2294,0.7510,0.2852,-0.2660,1.0559
325,0.3255,0.3007,0.3497,0.4807,0.2481,0.7536,0.2964,-0.2377,1.0511
350,0.3260,0.3025,0.3463,0.4822,0.2763,0.7425,0.3326,-0.2024,1.0069
375,0.3257,0.3046,0.3475,0.4828,0.2493,0.7293,0.2927,-0.2124,1.0226
400,0.3269,0.3045,0.3477,0.4906,0.2848,0.7255,0.3214,-0.1698,0.9964
