name,label,cv,neff,neff_ratio,khat,khat_threshold,reliable
konstant,Konstant (w=1),0.0,5000.0,1.0,0.0,0.7,True
normal_s02,"Normal(1, 0.2), positiv beschnitten",0.201,4805.8,0.9612,-0.1105,0.7,True
gamma_k4,Gamma(k=4),0.4936,4020.5,0.8041,-0.0284,0.7,True
uniform01,"Uniform(0, 1)",0.5824,3733.6,0.7467,-0.9525,0.7,True
halfnormal,Half-Normal,0.7639,3157.5,0.6315,-0.0484,0.7,True
pareto_a25,Pareto(alpha=2.5),0.6844,3405.2,0.681,0.4421,0.7,True
exponential,Exponential(1),1.0228,2443.6,0.4887,-0.0004,0.7,True
lognormal_s1,Lognormal(sigma=1),1.2612,1930.1,0.386,0.2486,0.7,True
lognormal_s15,Lognormal(sigma=1.5),3.1979,445.4,0.0891,0.4132,0.7,True
pareto_a125,Pareto(alpha=1.25),22.258,10.1,0.002,0.8105,0.7,False
