skew,c,neff_ratio_exact,neff_ratio_measured,overestimation,khat,khat_threshold
0.5,0.1,0.99052,0.99053,1.0,-0.0917,0.7
0.5,0.216,0.95882,0.95889,1.0001,-0.0446,0.7
0.5,0.332,0.90998,0.9098,0.9998,-0.0064,0.7
0.5,0.448,0.8491,0.84959,1.0006,-0.0109,0.7
0.5,0.564,0.78064,0.78166,1.0013,0.0195,0.7
0.5,0.68,0.7083,0.70851,1.0003,0.0582,0.7
0.5,0.796,0.63503,0.63309,0.997,0.0696,0.7
0.5,0.912,0.56308,0.56442,1.0024,0.1165,0.7
0.5,1.028,0.49415,0.49843,1.0087,0.1379,0.7
0.5,1.144,0.42939,0.42728,0.9951,0.1671,0.7
0.5,1.26,0.3696,0.37089,1.0035,0.1943,0.7
0.5,1.376,0.3152,0.31883,1.0115,0.2205,0.7
0.5,1.492,0.26638,0.27358,1.027,0.2424,0.7
0.5,1.608,0.22312,0.22291,0.999,0.2895,0.7
0.5,1.724,0.18523,0.19354,1.0449,0.3163,0.7
0.5,1.84,0.15243,0.16796,1.1019,0.3251,0.7
0.5,1.956,0.12433,0.13338,1.0728,0.3818,0.7
0.5,2.072,0.10053,0.11527,1.1466,0.3943,0.7
0.5,2.188,0.08057,0.09737,1.2086,0.4351,0.7
0.5,2.304,0.064,0.07527,1.176,0.4722,0.7
0.5,2.42,0.0504,0.06248,1.2398,0.491,0.7
0.5,2.536,0.03933,0.04958,1.2605,0.5439,0.7
0.5,2.652,0.03042,0.04554,1.4969,0.5643,0.7
0.5,2.768,0.02332,0.03213,1.3775,0.5983,0.7
0.5,2.884,0.01772,0.03251,1.8345,0.6143,0.7
0.5,3.0,0.01334,0.02723,2.0408,0.648,0.7
0.0,0.1,0.99005,0.99005,1.0,-0.0414,0.7
0.0,0.216,0.95442,0.95441,1.0,-0.0164,0.7
0.0,0.332,0.89563,0.89569,1.0001,0.0203,0.7
0.0,0.448,0.81815,0.81845,1.0004,0.0573,0.7
0.0,0.564,0.72753,0.72799,1.0006,0.1073,0.7
0.0,0.68,0.62977,0.62594,0.9939,0.158,0.7
0.0,0.796,0.53067,0.52765,0.9943,0.2015,0.7
0.0,0.912,0.43529,0.4405,1.012,0.2317,0.7
0.0,1.028,0.34757,0.34744,0.9996,0.2809,0.7
0.0,1.144,0.27016,0.28374,1.0503,0.289,0.7
0.0,1.26,0.20442,0.20747,1.015,0.3777,0.7
0.0,1.376,0.15056,0.16969,1.127,0.3661,0.7
0.0,1.492,0.10795,0.12683,1.1749,0.4439,0.7
0.0,1.608,0.07535,0.09093,1.2069,0.4918,0.7
0.0,1.724,0.05119,0.07368,1.4394,0.4909,0.7
0.0,1.84,0.03386,0.04669,1.3789,0.5598,0.7
0.0,1.956,0.0218,0.03874,1.7771,0.6287,0.7
0.0,2.072,0.01366,0.02977,2.1793,0.6361,0.7
0.0,2.188,0.00833,0.02069,2.4823,0.7143,0.7
0.0,2.304,0.00495,0.02011,4.0626,0.7124,0.7
0.0,2.42,0.00286,0.01416,4.9492,0.7571,0.7
0.0,2.536,0.00161,0.00962,5.9756,0.8068,0.7
0.0,2.652,0.00088,0.00924,10.4758,0.8485,0.7
0.0,2.768,0.00047,0.0094,19.9753,0.8995,0.7
0.0,2.884,0.00024,0.00563,23.0586,0.9587,0.7
0.0,3.0,0.00012,0.00418,33.8808,0.9786,0.7
-0.5,0.1,0.98954,0.98954,1.0,-0.0024,0.7
-0.5,0.216,0.94921,0.94902,0.9998,0.034,0.7
-0.5,0.332,0.87735,0.87771,1.0004,0.0375,0.7
-0.5,0.448,0.77645,0.77612,0.9996,0.133,0.7
-0.5,0.564,0.65371,0.65469,1.0015,0.2181,0.7
-0.5,0.68,0.52047,0.52752,1.0135,0.2291,0.7
-0.5,0.796,0.38995,0.39778,1.0201,0.2987,0.7
-0.5,0.912,0.27399,0.29623,1.0812,0.3499,0.7
-0.5,1.028,0.18021,0.19784,1.0978,0.4259,0.7
-0.5,1.144,0.11089,0.12594,1.1357,0.4654,0.7
-0.5,1.26,0.06388,0.0857,1.3415,0.5195,0.7
-0.5,1.376,0.03449,0.05802,1.6824,0.5807,0.7
-0.5,1.492,0.01747,0.04144,2.3719,0.634,0.7
-0.5,1.608,0.00832,0.03121,3.752,0.6874,0.7
-0.5,1.724,0.00372,0.01791,4.8085,0.7603,0.7
-0.5,1.84,0.00157,0.01544,9.8297,0.7885,0.7
-0.5,1.956,0.00062,0.00894,14.3119,0.8455,0.7
-0.5,2.072,0.00023,0.00971,41.4701,0.926,0.7
-0.5,2.188,8e-05,0.00468,56.4307,1.0075,0.7
-0.5,2.304,3e-05,0.00441,159.4907,1.0112,0.7
-0.5,2.42,1e-05,0.00302,345.7623,1.0618,0.7
-0.5,2.536,0.0,0.00302,1160.8449,1.1112,0.7
-0.5,2.652,0.0,0.00287,3922.6334,1.1864,0.7
-0.5,2.768,0.0,0.00194,9984.6461,1.2822,0.7
-0.5,2.884,0.0,0.0017,34823.9855,1.3229,0.7
-0.5,3.0,0.0,0.00205,176268.0918,1.3756,0.7
